"platform","url","createdAt","text","media","commentCount","shareCount","likeCount","videoplayCount"
"Twitter/X","https://x.com/Fonterra/status/1891573780557988062","2025/02/17 19:41:47","Today we announced new incentives to help farms reduce emissions.

“We’re growing relationships with customers who value the hard work farmers put into producing sustainable, high-quality milk, along with the Co-op’s quality of on-farm data and ongoing commitment to improvement.” – Miles Hurrell, CEO at Fonterra.

Read more here: https://t.co/RBhooZz8zV",,66,2,15,
"Twitter/X","https://x.com/Fonterra/status/1864797785670705541","2024/12/05 22:23:33","@ahsan_ansaar Hi there, please reach out to us at talktous@fonterra.com. Our team will get back to you as soon they can. ^MM",,1,0,0,
"Twitter/X","https://x.com/Fonterra/status/1864778161285673147","2024/12/05 21:05:34","@ahsan_ansaar Hi there, could you please DM us with some information about when and where you purchased this product as well as your best email address? ^MM",,1,0,0,
"Twitter/X","https://x.com/Fonterra/status/1863358516293251562","2024/12/01 23:04:24","At Fonterra, food safety and quality is our number one priority.

Bovaer has not been approved to be used on farm in New Zealand.",,303,102,704,
"Twitter/X","https://x.com/Fonterra/status/1855696894380360009","2024/11/10 19:39:51","We’ve lifted our forecast Farmgate Milk Price midpoint for the season by 50c to $9.50 per kgMS off the back of strong demand for our reference products. Our new forecast range is $9.00-$10.00 per kgMS. You can read more here: https://t.co/sgatcYbBYs",,8,3,16,
"Twitter/X","https://x.com/Fonterra/status/1844461996319834173","2024/10/10 19:36:23","Today we announced a new Appointed Director, Alistair Field, who will join the Fonterra Board as an Independent Director on 1 November 2024. He fills the vacancy left by Scott St John when he retired from the Board in March. Learn more here: https://t.co/rgkMEkfKHL",,2,0,1,
"Twitter/X","https://x.com/Fonterra/status/1844100064282804239","2024/10/09 19:38:11","Today we announced changes to our management team. Mike Cronin will focus on the potential Consumer divestment process full time and has decided to leave the Co-op at the conclusion of that process. Matt Bolger will step into the Managing Director Co-operative Affairs role in March. https://t.co/4iGQUbN5c7",,2,0,6,
"Twitter/X","https://x.com/Fonterra/status/1844095990191841734","2024/10/09 19:22:00","We're sorry to hear that you're having quality issues. Can you please get in touch with our complaints team either by email at talktous@fonterra.com or by phone on 0800 103 778 with some info about when and where you purchased the yoghurt? They'll do an investigation and get this sorted for you. ^MM",,0,0,0,
"Twitter/X","https://x.com/Fonterra/status/1840477557302714434","2024/09/29 19:43:38","Today we’re pleased to share our revised strategy that will see us deepen our focus on our high-performing Ingredients &amp; Foodservice businesses to grow value for farmers and customers. Learn more here: https://t.co/lMzQfCMXVD https://t.co/8l5CVWj3pD",,2,2,19,
"Twitter/X","https://x.com/Fonterra/status/1839877772304433518","2024/09/28 04:00:18","We're sorry to hear that you're having quality issues. Can you please get in touch with our complaints team either by email at talktous@fonterra.com or by phone on 0800 103 778 with some information about when and where you purchased the milk? They will do an investigation and get this sorted for you. We appreciate you raising the issue with us. ^MM",,0,0,0,
"Twitter/X","https://x.com/Fonterra/status/1838682961493004300","2024/09/24 20:52:33","Today we shared a strong FY24 full year financial result as well as an uplift in this season’s forecast Farmgate Milk Price. Hear more from Miles in the video below.

https://t.co/7DolP3HxQ9 https://t.co/BjGR0KmS2z",,1,2,16,
"Twitter/X","https://x.com/Fonterra/status/1836181333120553354","2024/09/17 23:11:59","@sgsdigicomply Construction on the new cool store begins next month and is forecast to take three years to complete. It'll take place over two phases to enable the existing building to remain operational 🙂",,1,0,1,
"Twitter/X","https://x.com/Fonterra/status/1836161624589373525","2024/09/17 21:53:40","Today we’ve announced a further investment into our operations with a new cool store to be built at our Whareroa site in Taranaki. Read more about it in the link below: https://t.co/BGpUbuk74E",,1,0,3,
"Twitter/X","https://x.com/Fonterra/status/1830837692097274315","2024/09/03 05:18:15","With growing demand in our Food Service business, we’re thrilled to share that we’re investing in a new UHT cream plant at our Edendale site which will create an additional 70 new jobs. https://t.co/R7xVcgGfcT https://t.co/3Qo26q5iBA",,0,0,18,
"Twitter/X","https://x.com/Fonterra/status/1828539838133604353","2024/08/27 21:07:24","We’re excited to share that our Studholme site is expanding to become a hub for high-value protein ingredients. This project will boost our production of advanced proteins used in medical nutrition and high-protein sports products. https://t.co/48sDVEsZVG",,0,0,2,
"Twitter/X","https://x.com/Fonterra/status/1826719785075519891","2024/08/22 20:35:10","We've announced a 50 cent increase in the forecast Farmgate Milk Price midpoint to $8.50 for the FY25 season, an uplift to the FY25 Advance Rate Schedule, and advised our FY24 earnings are forecast to be at the top end range of 60-70 cents per share: https://t.co/RDH4l9cm95",,1,1,14,
"Twitter/X","https://x.com/Fonterra/status/1803648581242352062","2024/06/20 04:38:26","Today we announced that Richard Allen has been appointed to President Global Markets Ingredients, René Dedoncker, has been appointed to Managing Director Global Markets Consumer &amp; Foodservice, and Emma Parsons has been appointed to CEO Kotahi Logistics. https://t.co/kJwHwSBigz https://t.co/DZ6jQOLpUI",,0,0,12,
"Twitter/X","https://x.com/Fonterra/status/1798883494065479984","2024/06/07 01:03:41","The countdown is on for @FieldaysNZ 🚜 

📍 Find us on the corner of F Street and K Road. We'll see you there!

Learn more here: https://t.co/bWJ30kATeM

#Fieldays #Fieldays24 https://t.co/qwY20HnXaN",,0,0,6,
"Twitter/X","https://x.com/Fonterra/status/1795555299991912641","2024/05/28 20:38:37","Today we shared our Q3 business update, announcing profit after tax from continuing operations’ of $1,013 million, up $20 million. We’ve also announced an opening 2024/25 season forecast Farmgate Milk Price of $7.25-8.75 per kgMS. https://t.co/a6ERMS2TgG",,1,3,6,
"Twitter/X","https://x.com/Fonterra/status/1790847101691207857","2024/05/15 20:49:56","@dairymanNZ Thanks for the heads up, we're aware of this and are working to correct it now. ^MM",,0,0,0,
"Twitter/X","https://x.com/Fonterra/status/1790845394936553770","2024/05/15 20:43:09","Today we announced a step-change in our strategic direction. As part of this, we’re exploring full or partial divestment options for some or all of our global Consumer business. Read more: https://t.co/jWwZ7jNGPj https://t.co/KJQzeDhTuE",,1,2,5,
"Twitter/X","https://x.com/Fonterra/status/1789822941519094097","2024/05/13 01:00:17","Co-op suppliers took home three major wins at the 2024 NZ Dairy Industry Awards Gala Dinner over the weekend 🏆James &amp; Debbie Stewart won the Fonterra Responsible Dairying Award, Kieran McCahon won NZ Dairy Manager of the Year, and Kirwyn Ellis won NZ Dairy Trainee of the Year 👏 https://t.co/0qTfBk5bx1",,1,0,5,
"Twitter/X","https://x.com/Fonterra/status/1788306924351758375","2024/05/08 20:36:10","We’re pleased to announce the appointment of Andrew Murray to the role of Chief Financial Officer (CFO). Andrew joined Fonterra in February 2023 as Commercial Director for our Global Markets business and will step into the CFO role on 1 August 2024. https://t.co/hS14idJG6d",,0,0,2,
"Twitter/X","https://x.com/Fonterra/status/1786200086386790655","2024/05/03 01:04:21","A huge congratulations to Waikato herd health vet, Katrina Roberts, who was last night announced as the 2024 Fonterra Dairy Woman of the Year at the Dairy Women’s Network Annual Conference in New Plymouth 👏 https://t.co/D3MKTSNmll",,0,1,9,
"Twitter/X","https://x.com/Fonterra/status/1782202714736464373","2024/04/22 00:20:13","@Iswhatitis2024 We have a good working relationship with Future Post and are not aware of any issues with the standard of recycled milk bottles that have been provided. Ensuring that our processes align with our intentions is paramount. We'll look into the claims and address any concerns.",,0,0,0,
